date,air_pressure,water_vapor_pressure,relative_air_humidity,specific_air_humidity,average_cloud_cover,temperature,wind_speed,downfall,cloudy_weather
datetime64[ns],object,float64,float64,float64,float64,float64,float64,float64,float64
2002-03-14 00:00:00,1012.1,3.8,58.0,,,-3.7,4.2,0.0,
2002-03-15 00:00:00,1015,3.9,65.0,,,-1.5,5.4,0.0,
2002-03-16 00:00:00,1003,2.5,31.0,,,2.4,7.6,0.0,
2002-03-17 00:00:00,991.1,5.4,70.0,,,1.4,5.2,0.0,
2002-03-18 00:00:00,978,6.0,80.0,,,2.6,4.7,0.0,
2002-03-19 00:00:00,975.3,5.2,86.0,,,0.6,2.7,4.2,
2002-03-20 00:00:00,981.9,5.3,80.0,,,1.7,4.8,1.7,
2002-03-21 00:00:00,991.1,6.0,87.0,,,1.3,4.4,0.9,
2002-03-22 00:00:00,1007.3,5.3,88.0,,,0.9,2.7,2.1,
2002-03-23 00:00:00,1021.2,3.0,62.0,,,-0.4,3.5,0.0,
2002-03-24 00:00:00,1015.9,3.6,58.0,,,-1.5,2.7,0.0,
2002-03-25 00:00:00,1005,5.9,80.0,,,2.1,2.2,0.9,
2002-03-26 00:00:00,1006.6,3.2,56.0,,,5.2,4.8,2.6,
2002-03-27 00:00:00,1001.2,7.2,67.0,,,5.5,8.9,0.0,
2002-03-28 00:00:00,999.1,7.2,73.0,,,6.0,7.1,4.2,
2002-03-29 00:00:00,1002.9,6.9,77.0,,,4.6,7.6,0.1,
2002-03-30 00:00:00,1001.6,6.5,82.0,,,3.2,4.3,2.6,
2002-03-31 00:00:00,996.7,6.1,80.0,,,2.4,2.5,0.0,
2002-04-01 00:00:00,997.8,5.7,65.0,,,4.3,5.4,0.0,
2002-04-02 00:00:00,1003.4,6.8,58.0,,,8.8,6.3,0.0,
2002-04-03 00:00:00,1009.8,8.4,84.0,,,6.5,2.5,0.4,
2002-04-04 00:00:00,1007.8,7.3,71.0,,,7.5,3.6,0.1,
2002-04-05 00:00:00,1009.9,7.8,78.0,,,6.7,3.5,0.0,
2002-04-06 00:00:00,1009,7.2,81.0,,,5.7,4.5,0.0,
2002-04-07 00:00:00,1011,6.6,80.0,,,4.6,3.5,1.5,
2002-04-08 00:00:00,1007.3,6.9,66.0,,,5.2,3.5,0.1,
2002-04-09 00:00:00,1010.5,6.0,78.0,,,4.9,3.8,3.3,
2002-04-10 00:00:00,1004.9,7.2,70.0,,,6.0,4.1,0.5,
2002-04-11 00:00:00,999.6,7.9,93.0,,,4.8,3.6,4.0,
2002-04-12 00:00:00,994.1,6.4,79.0,,,4.4,4.1,5.7,
2002-04-13 00:00:00,997.9,4.6,62.0,,,4.1,4.3,0.0,
2002-04-14 00:00:00,996.5,5.7,50.0,,,6.5,6.3,0.0,
2002-04-15 00:00:00,1004.1,6.8,66.0,,,6.6,4.5,0.0,
2002-04-16 00:00:00,1005.7,4.1,51.0,,,7.1,4.7,0.0,
2002-04-17 00:00:00,1004.3,5.3,45.0,,,7.2,4.0,0.0,
2002-04-18 00:00:00,1002.9,6.5,57.0,,,7.3,3.0,0.0,
2002-04-19 00:00:00,1006.4,6.4,74.0,,,6.0,5.3,0.0,
2002-04-20 00:00:00,1012.3,5.9,60.0,,,6.6,3.0,0.0,
2002-04-21 00:00:00,1011.1,6.3,55.0,,,9.5,4.4,0.0,
2002-04-22 00:00:00,997.2,9.6,77.0,,,11.1,7.3,3.7,
2002-04-23 00:00:00,996,8.9,79.0,,,7.8,10.1,0.4,
2002-04-24 00:00:00,1002.8,10.0,85.0,,,8.3,5.3,4.5,
2002-04-25 00:00:00,994.4,8.4,73.0,,,9.0,6.3,0.7,
2002-04-26 00:00:00,981.9,6.0,59.0,,,9.2,6.0,0.1,
2002-04-27 00:00:00,975.4,6.4,52.0,,,9.5,7.3,0.0,
2002-04-28 00:00:00,979.2,6.8,87.0,,,3.6,4.6,4.8,
2002-04-29 00:00:00,981.6,6.4,57.0,,,7.6,7.8,8.5,
2002-04-30 00:00:00,981.4,5.9,53.0,,,8.9,9.3,0.0,
2002-05-01 00:00:00,979,7.7,60.0,,,9.4,8.8,0.0,
2002-05-02 00:00:00,989.8,7.4,54.0,,,9.9,9.0,1.2,
2002-05-03 00:00:00,997.6,6.9,67.0,,,7.5,6.5,0.0,
2002-05-04 00:00:00,1006,6.8,69.0,,,5.9,3.5,0.4,
2002-05-05 00:00:00,1013.7,5.9,64.0,,,6.4,4.6,1.3,
2002-05-06 00:00:00,1016,6.4,61.0,,,7.4,2.8,0.0,
2002-05-07 00:00:00,1012.4,6.2,42.0,,,11.9,4.6,0.0,
2002-05-08 00:00:00,1011.4,6.4,68.0,,,8.3,4.9,0.0,
2002-05-09 00:00:00,1011.3,7.2,61.0,,,8.0,5.3,0.0,
2002-05-10 00:00:00,1001.9,9.0,51.0,,,14.4,4.0,0.0,
2002-05-11 00:00:00,993,6.7,29.0,,,18.0,8.2,0.0,
2002-05-12 00:00:00,992.5,8.5,81.0,,,8.2,6.1,0.0,
2002-05-13 00:00:00,999.1,8.0,67.0,,,9.2,5.3,3.3,
2002-05-14 00:00:00,992.1,6.5,47.0,,,14.6,5.3,0.0,
2002-05-15 00:00:00,993.9,10.5,77.0,,,11.8,5.5,0.0,
2002-05-16 00:00:00,994.4,9.5,83.0,,,8.4,5.3,1.6,
2002-05-17 00:00:00,1003.7,6.5,75.0,,,5.7,5.7,1.8,
2002-05-18 00:00:00,1004,,,,,6.1,5.2,3.2,
2002-05-19 00:00:00,1000.4,5.4,44.0,,,9.8,4.8,0.5,
2002-05-20 00:00:00,998.4,6.5,43.0,,,13.5,4.5,0.0,
2002-05-21 00:00:00,995.9,8.5,46.0,,,16.8,3.9,0.0,
2002-05-22 00:00:00,992.9,7.1,33.0,,,19.5,8.2,0.0,
2002-05-23 00:00:00,989.5,8.3,34.0,,,21.2,6.8,0.0,
2002-05-24 00:00:00,987.8,11.2,65.0,,,14.8,4.6,0.0,
2002-05-25 00:00:00,988.8,8.7,60.0,,,12.1,6.5,6.5,
2002-05-26 00:00:00,997.4,8.8,50.0,,,13.7,8.7,0.0,
2002-05-27 00:00:00,999.5,8.7,50.0,,,14.4,5.7,0.0,
2002-05-28 00:00:00,1000.7,10.5,62.0,,,14.3,5.2,0.2,
2002-05-29 00:00:00,998.5,5.4,37.0,,,16.9,6.7,2.0,
2002-05-30 00:00:00,996.7,11.0,65.0,,,14.1,5.7,0.0,
2002-05-31 00:00:00,1000.9,10.0,66.0,,,12.6,3.7,10.2,
2002-06-01 00:00:00,1008.3,9.5,67.0,,,12.1,4.0,0.0,
2002-06-02 00:00:00,1005.6,9.9,60.0,,,14.2,3.4,1.0,
2002-06-03 00:00:00,1000.2,12.3,56.0,,,17.6,4.0,0.0,
2002-06-04 00:00:00,998.2,8.2,30.0,,,22.0,5.5,0.0,
2002-06-05 00:00:00,1001.2,9.1,38.0,,,21.9,4.7,0.0,
2002-06-06 00:00:00,1002.1,8.7,32.0,,,22.2,4.7,0.0,
2002-06-07 00:00:00,1001.8,10.4,41.0,,,20.8,3.4,0.0,
2002-06-08 00:00:00,998.2,11.3,42.0,,,22.5,3.5,0.0,
2002-06-09 00:00:00,995.5,11.1,43.0,,,21.4,6.1,0.0,
2002-06-10 00:00:00,993.2,11.5,52.0,,,19.2,5.7,0.0,
