Navn,Stasjon,Tid(norsk normaltid),Middeltemperatur (dogn),Kraftigste middelvind (dogn),Nedbor (dogn),Overskya vaer (dogn)
Trondheim - Voll,SN68860,01.01.2002,-2.9,13.4,5,-
Trondheim - Voll,SN68860,02.01.2002,-8.9,3.8,3.5,-
Trondheim - Voll,SN68860,03.01.2002,-6,5.7,0,-
Trondheim - Voll,SN68860,04.01.2002,-1.9,5.6,0,-
Trondheim - Voll,SN68860,05.01.2002,-3.4,4.7,0,-
Trondheim - Voll,SN68860,06.01.2002,3,5.3,15.4,-
Trondheim - Voll,SN68860,07.01.2002,3.9,4.9,2.4,-
Trondheim - Voll,SN68860,08.01.2002,4.3,6,0,-
Trondheim - Voll,SN68860,09.01.2002,2.4,7.9,5.4,-
Trondheim - Voll,SN68860,10.01.2002,6,9.4,0,-
Trondheim - Voll,SN68860,11.01.2002,5.1,5.6,0,-
Trondheim - Voll,SN68860,12.01.2002,4.4,5.4,0.4,-
Trondheim - Voll,SN68860,13.01.2002,3.6,4,5.2,-
Trondheim - Voll,SN68860,14.01.2002,5.9,5.5,0,-
Trondheim - Voll,SN68860,15.01.2002,4,3.9,0,-
Trondheim - Voll,SN68860,16.01.2002,2,5.9,0,-
Trondheim - Voll,SN68860,17.01.2002,0.8,5.3,1,-
Trondheim - Voll,SN68860,18.01.2002,2.6,4,0,-
Trondheim - Voll,SN68860,19.01.2002,1.7,4.7,2.6,-
Trondheim - Voll,SN68860,20.01.2002,-1.5,3.2,0.7,-
Trondheim - Voll,SN68860,21.01.2002,-4.3,3.8,1.8,-
Trondheim - Voll,SN68860,22.01.2002,-5.5,5.3,3.4,-
Trondheim - Voll,SN68860,23.01.2002,-5.3,5.2,1.6,-
Trondheim - Voll,SN68860,24.01.2002,-8.5,5,1.1,-
Trondheim - Voll,SN68860,25.01.2002,-4.2,10.8,0.5,-
Trondheim - Voll,SN68860,26.01.2002,-5.9,5.8,2.8,-
Trondheim - Voll,SN68860,27.01.2002,-8.9,4.3,0,-
Trondheim - Voll,SN68860,28.01.2002,-1.9,5.2,0,-
Trondheim - Voll,SN68860,29.01.2002,-0.8,10.9,0.9,-
Trondheim - Voll,SN68860,30.01.2002,-3.4,5.5,3.6,-
Trondheim - Voll,SN68860,31.01.2002,-2.4,5.7,0,-
Trondheim - Voll,SN68860,01.02.2002,-0.8,5.1,-,-
Trondheim - Voll,SN68860,02.02.2002,5.5,11.3,0.1,-
Trondheim - Voll,SN68860,03.02.2002,6.7,7.7,4,-
Trondheim - Voll,SN68860,04.02.2002,4.4,8.2,0,-
Trondheim - Voll,SN68860,05.02.2002,3.6,7.6,0,-
Trondheim - Voll,SN68860,06.02.2002,3.6,5.8,0.3,-
Trondheim - Voll,SN68860,07.02.2002,0.7,3.7,0.4,-
Trondheim - Voll,SN68860,08.02.2002,2.2,4.4,0,-
Trondheim - Voll,SN68860,09.02.2002,2.3,5.2,0.7,-
Trondheim - Voll,SN68860,10.02.2002,2.1,9.2,5.3,-
Trondheim - Voll,SN68860,11.02.2002,0.7,9.2,0.7,-
Trondheim - Voll,SN68860,12.02.2002,-0.7,3.1,0.7,-
Trondheim - Voll,SN68860,13.02.2002,0,5.1,0.5,-
Trondheim - Voll,SN68860,14.02.2002,0,6.7,0.6,-
Trondheim - Voll,SN68860,15.02.2002,3.1,11.9,2.4,-
Trondheim - Voll,SN68860,16.02.2002,7.4,13.4,8.8,-
Trondheim - Voll,SN68860,17.02.2002,2,13.9,5.2,-
Trondheim - Voll,SN68860,18.02.2002,0.5,6.2,3.7,-
