Navn,Stasjon,Tid(norsk normaltid),Middeltemperatur (dogn),Kraftigste middelvind (dogn),Nedbor (dogn),Overskya vaer (dogn)
Trondheim - Voll,SN68860,24.11.2010,-9.4,5.1,0.1,0
Trondheim - Voll,SN68860,25.11.2010,-13.4,4.1,0.3,0
Trondheim - Voll,SN68860,26.11.2010,-12.2,4.1,0,0
Trondheim - Voll,SN68860,27.11.2010,-13,4,0,0
Trondheim - Voll,SN68860,28.11.2010,-12.7,3.8,0.2,0
Trondheim - Voll,SN68860,29.11.2010,-10.3,4.7,0,0
Trondheim - Voll,SN68860,30.11.2010,-14,3.6,0.2,0
Trondheim - Voll,SN68860,01.12.2010,-13.5,3.4,0,0
Trondheim - Voll,SN68860,02.12.2010,-10.8,5,0,0
Trondheim - Voll,SN68860,03.12.2010,-13.7,4.1,0,0
Trondheim - Voll,SN68860,04.12.2010,-10.8,3.3,0.3,0
Trondheim - Voll,SN68860,05.12.2010,-2.4,6.5,0,1
Trondheim - Voll,SN68860,06.12.2010,-4.5,5.5,0.1,1
Trondheim - Voll,SN68860,07.12.2010,-1.1,5.8,0.7,1
Trondheim - Voll,SN68860,08.12.2010,-4.5,4.3,7.7,1
Trondheim - Voll,SN68860,09.12.2010,-7.9,4.6,1.4,0
Trondheim - Voll,SN68860,10.12.2010,-2.6,4.8,0.3,1
Trondheim - Voll,SN68860,11.12.2010,-2.3,4.4,13.2,1
Trondheim - Voll,SN68860,12.12.2010,-1.8,4.5,5.1,0
Trondheim - Voll,SN68860,13.12.2010,-4.6,2.6,3.7,0
Trondheim - Voll,SN68860,14.12.2010,-1.5,2.7,0.9,1
Trondheim - Voll,SN68860,15.12.2010,1.5,7.1,2.2,0
Trondheim - Voll,SN68860,16.12.2010,-4.8,6.7,3.8,0
Trondheim - Voll,SN68860,17.12.2010,-6.3,5.2,0.3,0
Trondheim - Voll,SN68860,18.12.2010,-7.2,4.8,0,0
Trondheim - Voll,SN68860,19.12.2010,-12.1,5.2,0.1,0
Trondheim - Voll,SN68860,20.12.2010,-12.3,5.3,0,0
Trondheim - Voll,SN68860,21.12.2010,-16.2,3.6,0.1,0
Trondheim - Voll,SN68860,22.12.2010,-13.9,2.9,0.1,0
Trondheim - Voll,SN68860,23.12.2010,-11.5,4.7,0,0
Trondheim - Voll,SN68860,24.12.2010,-14.4,2.6,0.1,0
Trondheim - Voll,SN68860,25.12.2010,-13.6,3.1,0.2,0
Trondheim - Voll,SN68860,26.12.2010,-8.8,3.6,0,1
Trondheim - Voll,SN68860,27.12.2010,-7.2,4.8,0,0
Trondheim - Voll,SN68860,28.12.2010,-5.5,3.7,0,1
Trondheim - Voll,SN68860,29.12.2010,-9.5,3.2,0.3,0
Trondheim - Voll,SN68860,30.12.2010,-1.5,6.3,6.2,1
Trondheim - Voll,SN68860,31.12.2010,0.2,8.5,7.3,1
Trondheim - Voll,SN68860,01.01.2011,0.3,6.5,10.4,1
Trondheim - Voll,SN68860,02.01.2011,-1.4,4.8,3.6,0
Trondheim - Voll,SN68860,03.01.2011,-2.7,3.7,2.5,1
Trondheim - Voll,SN68860,04.01.2011,-6.9,3.4,1.4,0
Trondheim - Voll,SN68860,05.01.2011,-2.6,2.8,0,0
Trondheim - Voll,SN68860,06.01.2011,-1,9.6,0,0
Trondheim - Voll,SN68860,07.01.2011,-2.8,6.9,1.6,0
Trondheim - Voll,SN68860,08.01.2011,-1.2,6.1,0,0
Trondheim - Voll,SN68860,09.01.2011,0.1,5,0.5,0
Trondheim - Voll,SN68860,10.01.2011,0.2,9.2,0.6,0
Trondheim - Voll,SN68860,11.01.2011,-5.7,6.1,0.8,0
Trondheim - Voll,SN68860,12.01.2011,-3.5,2.5,0.1,0
Trondheim - Voll,SN68860,13.01.2011,-2,2.8,0,1
Trondheim - Voll,SN68860,14.01.2011,-6.4,4.1,0.5,0
Trondheim - Voll,SN68860,15.01.2011,-0.2,11.9,0.1,0
Trondheim - Voll,SN68860,16.01.2011,2.1,10.4,0,1
Trondheim - Voll,SN68860,17.01.2011,3,3.8,4.2,1
Trondheim - Voll,SN68860,18.01.2011,2,5,0.4,0
Trondheim - Voll,SN68860,19.01.2011,0.5,4.6,0.1,1
Trondheim - Voll,SN68860,20.01.2011,0.8,3.4,1.2,1
Trondheim - Voll,SN68860,21.01.2011,3.1,7.2,0.6,0
Trondheim - Voll,SN68860,22.01.2011,2.6,8.3,11.6,1
Trondheim - Voll,SN68860,23.01.2011,4.4,7,10.9,1
Trondheim - Voll,SN68860,24.01.2011,2.9,6.3,2,1
Trondheim - Voll,SN68860,25.01.2011,-3.9,5.4,4.8,0
Trondheim - Voll,SN68860,26.01.2011,-4.6,5.3,0.4,0
Trondheim - Voll,SN68860,27.01.2011,2.1,6.3,1.2,1
Trondheim - Voll,SN68860,28.01.2011,4.5,7.1,0,1
Trondheim - Voll,SN68860,29.01.2011,1.6,13.5,1,1
Trondheim - Voll,SN68860,30.01.2011,2.1,9.6,4.6,1
Trondheim - Voll,SN68860,31.01.2011,3.3,8.4,0.1,0
Trondheim - Voll,SN68860,01.02.2011,3.2,5.9,7.9,0
Trondheim - Voll,SN68860,02.02.2011,3.7,5.8,1,0
Trondheim - Voll,SN68860,03.02.2011,0.8,5.1,9.2,0
Trondheim - Voll,SN68860,04.02.2011,1.2,9.3,0.1,0
Trondheim - Voll,SN68860,05.02.2011,1.9,11.6,0,1
Trondheim - Voll,SN68860,06.02.2011,1.5,10,4,0
Trondheim - Voll,SN68860,07.02.2011,2,6.8,3.3,0
Trondheim - Voll,SN68860,08.02.2011,0.7,9.9,2.3,0
Trondheim - Voll,SN68860,09.02.2011,-1.3,10.8,4.2,0
Trondheim - Voll,SN68860,10.02.2011,-3.6,5.4,0,0
Trondheim - Voll,SN68860,11.02.2011,-8.6,8.6,0.3,0
Trondheim - Voll,SN68860,12.02.2011,-12,4.9,0,0
Trondheim - Voll,SN68860,13.02.2011,-9.1,4.6,0,0
Trondheim - Voll,SN68860,14.02.2011,-4.8,10.4,0,0
